194 KINGSLAND AVENUE,11222,1
49 2 STREET,11231,1
934 MYRTLE AVENUE,11206,25
5628 4 AVENUE,11220,1
2046 COYLE STREET,11229,2
243 MELROSE STREET,11206,3
359 OVINGTON AVENUE,11209,11
118 COURT STREET,11201,1
516 MORGAN AVENUE,11222,4
36 SHORE ROAD LANE,11209,1
1590 WEST 8 STREET,11204,45
165 WASHINGTON PARK,11205,1
598 RIDGEWOOD AVENUE,11208,1
1508 BEDFORD AVENUE,11216,76
210 LOTT AVENUE,11212,60
3080 WEST 1 STREET,11224,2
5014 AVENUE D,11203,7
253 WINDSOR PLACE,11215,1
259 EAST 28 STREET,11226,4
1524 BEDFORD AVENUE,11216,12
195 COLUMBIA STREET,11231,13
545 EAST 82 STREET,11236,54
241 MARCUS GARVEY BOULEVARD,11221,1
419 MARCUS GARVEY BOULEVARD,11216,1
1674 WEST 5 STREET,11223,42
220 LINDEN STREET,11221,1
1368 FLATBUSH AVENUE,11210,1
281 CROWN STREET,11225,8
1469 PACIFIC STREET,11216,4
1506 OCEAN AVENUE,11230,31
1171 FULTON STREET,11216,1
386 EAST 51 STREET,11203,2
966 EAST 45 STREET,11203,1
7212 4 AVENUE,11209,55
257 WEIRFIELD STREET,11221,2
125 EAST 19 STREET,11226,62
118 NORTH 8 STREET,11249,3
637 HENRY STREET,11231,14
491 MONTAUK AVENUE,11208,2
835 MONTGOMERY STREET,11213,1
150 21 STREET,11232,8
914 BEDFORD AVENUE,11205,1
2537 WEST STREET,11223,1
291 WILLOUGHBY AVENUE,11205,1
485 HALSEY STREET,11233,1
433 68 STREET,11220,1
2017 ALBEMARLE ROAD,11226,38
1375 EAST 92 STREET,11236,11
7 BRIGHTON 8 COURT,11235,3
209 UNDERHILL AVENUE,11238,8
1638 EAST 94 STREET,11236,1
65 GLEN STREET,11208,2
211 UTICA AVENUE,11213,1
389 MADISON STREET,11221,1
124 BAINBRIDGE STREET,11233,1
151 EAST 40 STREET,11203,1
